name,class,subclass,subsubclass,photo,location,relations_materials,relations_products,description
Flexible Adhesives,Joining,Joining: Adhesives',',2001_flexible_adhesive,"-- Woodshop (https://hop.dartmouth.edu/online/woodworking)
 -- Machineshop (http://engineering.dartmouth.edu/mshop/machines.html)","--1001 (Borosilicate glass)
--1002 (Glass ceramic)
--1003 (Silica glass)
--1004 (Soda-lime glass)
--1005 (Cement)
--1006 (Concrete)
--1007 (Plaster of Paris)
--1008 (Brick)
--1009 (Granite)
--1010 (Limestone)
--1011 (Marble)
--1012 (Sandstone)
--1013 (Slate)
--1014 (Alumina)
--1015 (Aluminum nitride)
--1016 (Boron carbide)
--1017 (Silicon)
--1018 (Silicon carbide)
--1019 (Silicon nitride)
--1020 (Tungsten carbides)
--1021 (Zirconia)
--1022 (Aluminum/Silicon carbide composite)
--1023 (CFRP, epoxy matrix (isotropic))
--1024 (Dough (Bulk) molding compound, DMC (BMC), polyester matrix)
--1025 (GFRP, epoxy matrix (isotropic))
--1026 (Sheet molding compound, SMC, polyester matrix)
--1029 (Flexible Polymer Foam (LD))
--1030 (Flexible Polymer Foam (MD))
--1031 (Flexible Polymer Foam (VLD))
--1032 (Rigid Polymer Foam (HD))
--1033 (Rigid Polymer Foam (LD))
--1034 (Rigid Polymer Foam (MD))
--1036 (Cork)
--1041 (Plywood)
--1044 (Cast iron, ductile (nodular))
--1045 (Cast iron, gray)
--1046 (High carbon steel)
--1047 (Low alloy steel)
--1048 (Low carbon steel)
--1049 (Medium carbon steel)
--1050 (Stainless steel)
--1051 (Age-hardening wrought Al-alloys)
--1052 (Cast Al-alloys)
--1053 (Non age-hardening wrought Al-alloys)
--1054 (Brass)
--1055 (Bronze)
--1056 (Copper)
--1057 (Gold)
--1058 (Commercially pure lead)
--1059 (Lead alloys)
--1060 (Cast magnesium alloys)
--1061 (Wrought magnesium alloys)
--1062 (Nickel)
--1063 (Nickel-based superalloys)
--1064 (Nickel-chromium alloys)
--1065 (Silver)
--1066 (Tin)
--1067 (Commercially pure titanium)
--1068 (Titanium alloys)
--1070 (Commercially pure zinc)
--1071 (Zinc die-casting alloys)
--1072 (Butyl rubber (IIR))
--1073 (Ethylene vinyl acetate (EVA))
--1075 (Polychloroprene (Neoprene, CR))
--1076 (Polyisoprene rubber (IIR))
--1077 (Polyurethane)
--1078 (Silicone elastomers (SI, Q))
--1080 (Acrylonitrile butadiene styrene (ABS))
--1083 (Polyamides (Nylons, PA))
--1084 (Polycarbonate (PC))
--1086 (Polyethylene (PE))
--1090 (Polymethyl methacrylate (Acrylic, PMMA))
--1092 (Polypropylene (PP))
--1093 (Polystyrene (PS))
--1095 (Polyurethane (tpPUR))
--1096 (Polyvinylchloride (tpPVC))
--1098 (Epoxies)
--1099 (Phenolics)
--1100 (Polyester)
--1107 (Bismuth)
--1124 (CPVC)
--1127 (PVDF)
--1128 (Pewter)
--1129 (Polysulfone)
--1134 (Nitrile Rubber (Buna-N))",,"Structural adhesives are those that are used to perform some mechanical function, though they may have a secondary role as a sealant. Many are rigid, giving a stiff bond (see the record for Rigid Adhesives); but flexible adhesives also play an important role in design. They are classified by their chemical composition.
 
 Flexible adhesives are typified by polyurethanes include and isocyanate-based adhesives, with lap shear strengths of about 8 MPa. They bond well to a wide range of materials, are tough and flexible, have good resistance to water and solvents, and perform well from -50 Â°C to 80 Â°C.
 
 Silicones (SIL) are synthetic polymers in which silicon replaces carbon as the major chain element. Most are two-part systems, their chemistry gives them exceptional flexibility and chemical stability. They are flexible, have useful properties from -115Â°C- 260 Â°C, good resistance to water and UV and IR radiation."
Rigid Adhesives,Joining,Joining: Adhesives',',2002_rigid_adhesives,"-- Woodshop (https://hop.dartmouth.edu/online/woodworking)
 -- Machineshop (http://engineering.dartmouth.edu/mshop/machines.html)","--1001 (Borosilicate glass)
--1002 (Glass ceramic)
--1003 (Silica glass)
--1004 (Soda-lime glass)
--1006 (Concrete)
--1008 (Brick)
--1009 (Granite)
--1010 (Limestone)
--1011 (Marble)
--1012 (Sandstone)
--1013 (Slate)
--1014 (Alumina)
--1015 (Aluminum nitride)
--1016 (Boron carbide)
--1017 (Silicon)
--1018 (Silicon carbide)
--1019 (Silicon nitride)
--1020 (Tungsten carbides)
--1023 (CFRP, epoxy matrix (isotropic))
--1025 (GFRP, epoxy matrix (isotropic))
--1027 (Ceramic foam)
--1028 (Metal foam)
--1029 (Flexible Polymer Foam (LD))
--1030 (Flexible Polymer Foam (MD))
--1031 (Flexible Polymer Foam (VLD))
--1032 (Rigid Polymer Foam (HD))
--1033 (Rigid Polymer Foam (LD))
--1034 (Rigid Polymer Foam (MD))
--1035 (Bamboo)
--1036 (Cork)
--1037 (Hardwood oak, across grain)
--1038 (Hardwood oak, along grain)
--1041 (Plywood)
--1042 (Softwood pine, across grain)
--1043 (Softwood pine, along grain)
--1044 (Cast iron, ductile (nodular))
--1045 (Cast iron, gray)
--1046 (High carbon steel)
--1047 (Low alloy steel)
--1048 (Low carbon steel)
--1049 (Medium carbon steel)
--1050 (Stainless steel)
--1051 (Age-hardening wrought Al-alloys)
--1052 (Cast Al-alloys)
--1053 (Non age-hardening wrought Al-alloys)
--1054 (Brass)
--1055 (Bronze)
--1056 (Copper)
--1058 (Commercially pure lead)
--1059 (Lead alloys)
--1060 (Cast magnesium alloys)
--1061 (Wrought magnesium alloys)
--1062 (Nickel)
--1063 (Nickel-based superalloys)
--1064 (Nickel-chromium alloys)
--1065 (Silver)
--1066 (Tin)
--1067 (Commercially pure titanium)
--1068 (Titanium alloys)
--1070 (Commercially pure zinc)
--1071 (Zinc die-casting alloys)
--1074 (Natural rubber (NR))
--1077 (Polyurethane)
--1080 (Acrylonitrile butadiene styrene (ABS))
--1082 (Ionomer (I))
--1083 (Polyamides (Nylons, PA))
--1084 (Polycarbonate (PC))
--1085 (Polyetheretherketone (PEEK))
--1086 (Polyethylene (PE))
--1087 (Polyethylene terephthalate (PET))
--1090 (Polymethyl methacrylate (Acrylic, PMMA))
--1091 (Polyoxymethylene (Acetal, POM))
--1092 (Polypropylene (PP))
--1093 (Polystyrene (PS))
--1096 (Polyvinylchloride (tpPVC))
--1098 (Epoxies)
--1099 (Phenolics)
--1100 (Polyester)
--1101 (Ash (longitudinal))
--1102 (Ash (transverse))
--1103 (Balsa (longitudinal))
--1104 (Balsa (transverse))
--1105 (Birch (longitudinal))
--1106 (Birch (transverse))
--1107 (Bismuth)
--1108 (Cherry (longitudinal))
--1109 (Cherry (transverse))
--1113 (Ebony (longitudinal))
--1114 (Ebony (transverse))
--1116 (Graphite)
--1118 (Lignum Vitae (longitudinal))
--1119 (Lignum Vitae (transverse))
--1120 (Mahogany (longitudinal))
--1121 (Mahogany (transverse))
--1122 (Maple (longitudinal))
--1123 (Maple (transverse))
--1124 (CPVC)
--1128 (Pewter)
--1130 (Red Oak (longitudinal))
--1131 (Red Oak (transverse))
--1132 (Rosewood (longitudinal))
--1133 (Rosewood (transverse))
--1136 (TORLON PAI)
--1137 (Walnut (longitudinal))
--1138 (Wlanut (transverse))","--3020 (Hammer (Hickory Wood Handle, Workforce))
--3039 (Knitting Needles (Bamboo))
--3097 (Cutting Board (Wood Fiber, Epicurean))","Structural adhesives are those with a mechanical function, though they may have a secondary role as a sealant. They are now used in every industrial sector. Some are flexible (see record for Flexible Adhesives) but most are rigid, giving a stiff bond. Within each group, it is usual to use a classification based on chemistry.
 
 Epoxies and epoxy-phenolics are thermosetting adhesives with high tensile strengths (up to 45 MPa) and low peel strengths (1.8 kg/mm). They are resistant to solvents, acids, bases and salts. Nylon-epoxies have the highest strengths and are used primarily to bond aluminum, magnesium and steel. Epoxy-phenolics retain their strength up to 150 - 250 Â°C and are used to bond metals, glass and phenolic resins. Most are two-part systems, curing at temperatures between 20 - 175 Â°C, depending on grade. They are used in relatively small quantities because of price: but, with imide-based adhesives, they dominate the high-performance adhesives markets. They give good adhesion to a wide range of substrates, with low shrinkage and good mechanical properties from -250 to +250 Â°C.
 
 Acrylic adhesives are two-part systems that form a strong, impact resistant bonding layer when mixed or activated by UV radiation. They are durable, tough, water resistant, optically clear, and able to bond a wide range of materials. They are most used for wood-to-metal bonds.
 Cyanoacrylate adhesives are familiar as 'super glue'. They are single part systems that cure in seconds when exposed to damp air, to give a strong, rather brittle bond. They bond to practically anything, and do so 'instantly' requiring no heat or clamping.
 
 Phenolic adhesives are as old as Bakelite (1905), which they resemble chemically. Phenolics are sometimes blended with epoxies and neoprenes. They have high strength, good water resistance and heat resistance, and are flame retardant.
 Imide-based adhesives (dismaleimides, BMI and polyimides, PI), like epoxies, are widely used as a matrix in fiber-reinforced polymers. They have better elevated temperature performance than most other organic adhesives. Used to bond ceramics and metals. They have excellent dielectric properties (hence their used in radomes); BMIs can be used at temperatures as low as -250 Â°C and as high as 230 Â°C; PIs up to 300Â°C."
Rivets and Staples,Joining,Joining: Fasteners',',2003_rivets_staples,-- Machineshop (http://engineering.dartmouth.edu/mshop/machines.html),"--1009 (Granite)
--1010 (Limestone)
--1011 (Marble)
--1012 (Sandstone)
--1013 (Slate)
--1022 (Aluminum/Silicon carbide composite)
--1037 (Hardwood oak, across grain)
--1038 (Hardwood oak, along grain)
--1039 (Leather)
--1041 (Plywood)
--1042 (Softwood pine, across grain)
--1043 (Softwood pine, along grain)
--1044 (Cast iron, ductile (nodular))
--1045 (Cast iron, gray)
--1046 (High carbon steel)
--1047 (Low alloy steel)
--1048 (Low carbon steel)
--1049 (Medium carbon steel)
--1050 (Stainless steel)
--1051 (Age-hardening wrought Al-alloys)
--1052 (Cast Al-alloys)
--1053 (Non age-hardening wrought Al-alloys)
--1054 (Brass)
--1055 (Bronze)
--1056 (Copper)
--1057 (Gold)
--1058 (Commercially pure lead)
--1059 (Lead alloys)
--1060 (Cast magnesium alloys)
--1061 (Wrought magnesium alloys)
--1062 (Nickel)
--1063 (Nickel-based superalloys)
--1064 (Nickel-chromium alloys)
--1065 (Silver)
--1066 (Tin)
--1067 (Commercially pure titanium)
--1068 (Titanium alloys)
--1069 (Tungsten alloys)
--1070 (Commercially pure zinc)
--1071 (Zinc die-casting alloys)
--1072 (Butyl rubber (IIR))
--1073 (Ethylene vinyl acetate (EVA))
--1074 (Natural rubber (NR))
--1075 (Polychloroprene (Neoprene, CR))
--1077 (Polyurethane)
--1078 (Silicone elastomers (SI, Q))
--1080 (Acrylonitrile butadiene styrene (ABS))
--1081 (Cellulose polymers (CA))
--1082 (Ionomer (I))
--1083 (Polyamides (Nylons, PA))
--1084 (Polycarbonate (PC))
--1085 (Polyetheretherketone (PEEK))
--1086 (Polyethylene (PE))
--1087 (Polyethylene terephthalate (PET))
--1090 (Polymethyl methacrylate (Acrylic, PMMA))
--1091 (Polyoxymethylene (Acetal, POM))
--1092 (Polypropylene (PP))
--1093 (Polystyrene (PS))
--1094 (Polytetrafluoroethylene (Teflon, PTFE))
--1095 (Polyurethane (tpPUR))
--1096 (Polyvinylchloride (tpPVC))
--1101 (Ash (longitudinal))
--1102 (Ash (transverse))
--1103 (Balsa (longitudinal))
--1104 (Balsa (transverse))
--1105 (Birch (longitudinal))
--1106 (Birch (transverse))
--1107 (Bismuth)
--1108 (Cherry (longitudinal))
--1109 (Cherry (transverse))
--1113 (Ebony (longitudinal))
--1114 (Ebony (transverse))
--1115 (Fluorinated Ethylene Propylene (FEP))
--1118 (Lignum Vitae (longitudinal))
--1119 (Lignum Vitae (transverse))
--1120 (Mahogany (longitudinal))
--1121 (Mahogany (transverse))
--1122 (Maple (longitudinal))
--1123 (Maple (transverse))
--1124 (CPVC)
--1125 (PEI ULTEM)
--1126 (PPS)
--1127 (PVDF)
--1128 (Pewter)
--1129 (Polysulfone)
--1130 (Red Oak (longitudinal))
--1131 (Red Oak (transverse))
--1132 (Rosewood (longitudinal))
--1133 (Rosewood (transverse))
--1134 (Nitrile Rubber (Buna-N))
--1136 (TORLON PAI)
--1137 (Walnut (longitudinal))
--1138 (Wlanut (transverse))",,"Mechanical fasteners have three special attractions: they do not require heat; they can join dissimilar materials; and these can be of very different thickness. RIVETS are widely used in aircraft design - a testament to their strength, permanence and reliability. Riveting is done by inserting a stud with a head on one end through pre-drilled holes in the mating components, and clinching (squashing) the other end where it sticks out by hitting it with a shaped hammer. STAPLES - familiar as a way of binding paper and attaching leather and cloth to frames in furniture - are fast and cheap; they can also be used to assemble sheet metal. Staples are applied with a spring-loaded, electric or pneumatic jig that forces the staple through the materials and onto a grooved anvil, bending the legs inwards and pinching the materials together. In blind stapling there is no anvil - the legs of the staple are simply driven through one material into the other, where they stick in the same way that nails do."
Seweing,Joining,Joining: Fasteners',',2004_sweing,-- Machineshop (http://engineering.dartmouth.edu/mshop/machines.html),"--1027 (Ceramic foam)
--1039 (Leather)
--1041 (Plywood)
--1054 (Brass)
--1055 (Bronze)
--1072 (Butyl rubber (IIR))
--1073 (Ethylene vinyl acetate (EVA))
--1074 (Natural rubber (NR))
--1075 (Polychloroprene (Neoprene, CR))
--1076 (Polyisoprene rubber (IIR))
--1077 (Polyurethane)
--1078 (Silicone elastomers (SI, Q))
--1079 (Carbon black reinforced styrene butadiene rubber (SBR))
--1080 (Acrylonitrile butadiene styrene (ABS))
--1081 (Cellulose polymers (CA))
--1082 (Ionomer (I))
--1083 (Polyamides (Nylons, PA))
--1084 (Polycarbonate (PC))
--1085 (Polyetheretherketone (PEEK))
--1086 (Polyethylene (PE))
--1087 (Polyethylene terephthalate (PET))
--1090 (Polymethyl methacrylate (Acrylic, PMMA))
--1091 (Polyoxymethylene (Acetal, POM))
--1092 (Polypropylene (PP))
--1093 (Polystyrene (PS))
--1094 (Polytetrafluoroethylene (Teflon, PTFE))
--1095 (Polyurethane (tpPUR))
--1096 (Polyvinylchloride (tpPVC))
--1110 (Coir Coconut Fiber)
--1111 (Coir (bleached))
--1112 (Cotton)
--1117 (Jute)
--1135 (Sisal)",,"SEWING has been practiced for at least 5000 years - indeed, there is evidence that it is much older still. In sewing, a series of stitches are applied, using one or more continuous threads of fibers, to join two or more thicknesses of material. There are many types of stitching, broadly described as 'lock stitch' in which loops of one thread pass through the material and are locked on the other side by a second thread; or 'chain stitch' in which a single thread zigzags through the material. Sewing machines automate the process. The figure shows a chain stitch of a single lap joint."
Snap Fit,Joining,Joining: Fasteners',',2005_snap_fit,-- Machineshop (http://engineering.dartmouth.edu/mshop/machines.html),"--1041 (Plywood)
--1046 (High carbon steel)
--1047 (Low alloy steel)
--1048 (Low carbon steel)
--1049 (Medium carbon steel)
--1050 (Stainless steel)
--1051 (Age-hardening wrought Al-alloys)
--1052 (Cast Al-alloys)
--1053 (Non age-hardening wrought Al-alloys)
--1054 (Brass)
--1055 (Bronze)
--1056 (Copper)
--1057 (Gold)
--1058 (Commercially pure lead)
--1059 (Lead alloys)
--1060 (Cast magnesium alloys)
--1061 (Wrought magnesium alloys)
--1062 (Nickel)
--1063 (Nickel-based superalloys)
--1064 (Nickel-chromium alloys)
--1065 (Silver)
--1066 (Tin)
--1067 (Commercially pure titanium)
--1068 (Titanium alloys)
--1072 (Butyl rubber (IIR))
--1073 (Ethylene vinyl acetate (EVA))
--1074 (Natural rubber (NR))
--1075 (Polychloroprene (Neoprene, CR))
--1077 (Polyurethane)
--1078 (Silicone elastomers (SI, Q))
--1080 (Acrylonitrile butadiene styrene (ABS))
--1081 (Cellulose polymers (CA))
--1082 (Ionomer (I))
--1083 (Polyamides (Nylons, PA))
--1084 (Polycarbonate (PC))
--1085 (Polyetheretherketone (PEEK))
--1086 (Polyethylene (PE))
--1087 (Polyethylene terephthalate (PET))
--1090 (Polymethyl methacrylate (Acrylic, PMMA))
--1091 (Polyoxymethylene (Acetal, POM))
--1092 (Polypropylene (PP))
--1093 (Polystyrene (PS))
--1094 (Polytetrafluoroethylene (Teflon, PTFE))
--1095 (Polyurethane (tpPUR))
--1096 (Polyvinylchloride (tpPVC))
--1098 (Epoxies)
--1099 (Phenolics)
--1100 (Polyester)
--1107 (Bismuth)
--1115 (Fluorinated Ethylene Propylene (FEP))
--1124 (CPVC)
--1125 (PEI ULTEM)
--1126 (PPS)
--1127 (PVDF)
--1128 (Pewter)
--1129 (Polysulfone)
--1134 (Nitrile Rubber (Buna-N))
--1136 (TORLON PAI)",,"SNAP FITS, like other mechanical fastenings, involve no heat, they join dissimilar materials, they are fast and
 cheap and - if designed to do so - they can be disassembled. It is essential that the snap can tolerate the relatively
 large elastic deflection required for assembly or disassembly. Polymers, particularly, meet this requirement, though
 springy metals, too, make good snap fits."
Threaded Fasteners,Joining,Joining: Fasteners',',2006_threaded_fasteners,"-- Woodshop (https://hop.dartmouth.edu/online/woodworking)
 -- Machineshop (http://engineering.dartmouth.edu/mshop/machines.html)","--1001 (Borosilicate glass)
--1002 (Glass ceramic)
--1003 (Silica glass)
--1004 (Soda-lime glass)
--1005 (Cement)
--1006 (Concrete)
--1007 (Plaster of Paris)
--1008 (Brick)
--1009 (Granite)
--1010 (Limestone)
--1011 (Marble)
--1012 (Sandstone)
--1013 (Slate)
--1014 (Alumina)
--1015 (Aluminum nitride)
--1016 (Boron carbide)
--1017 (Silicon)
--1018 (Silicon carbide)
--1019 (Silicon nitride)
--1020 (Tungsten carbides)
--1021 (Zirconia)
--1023 (CFRP, epoxy matrix (isotropic))
--1025 (GFRP, epoxy matrix (isotropic))
--1027 (Ceramic foam)
--1028 (Metal foam)
--1037 (Hardwood oak, across grain)
--1038 (Hardwood oak, along grain)
--1039 (Leather)
--1041 (Plywood)
--1042 (Softwood pine, across grain)
--1043 (Softwood pine, along grain)
--1044 (Cast iron, ductile (nodular))
--1045 (Cast iron, gray)
--1046 (High carbon steel)
--1047 (Low alloy steel)
--1048 (Low carbon steel)
--1049 (Medium carbon steel)
--1050 (Stainless steel)
--1051 (Age-hardening wrought Al-alloys)
--1052 (Cast Al-alloys)
--1053 (Non age-hardening wrought Al-alloys)
--1054 (Brass)
--1055 (Bronze)
--1056 (Copper)
--1057 (Gold)
--1058 (Commercially pure lead)
--1059 (Lead alloys)
--1060 (Cast magnesium alloys)
--1061 (Wrought magnesium alloys)
--1062 (Nickel)
--1063 (Nickel-based superalloys)
--1064 (Nickel-chromium alloys)
--1065 (Silver)
--1066 (Tin)
--1067 (Commercially pure titanium)
--1068 (Titanium alloys)
--1069 (Tungsten alloys)
--1070 (Commercially pure zinc)
--1071 (Zinc die-casting alloys)
--1072 (Butyl rubber (IIR))
--1073 (Ethylene vinyl acetate (EVA))
--1074 (Natural rubber (NR))
--1075 (Polychloroprene (Neoprene, CR))
--1076 (Polyisoprene rubber (IIR))
--1077 (Polyurethane)
--1078 (Silicone elastomers (SI, Q))
--1080 (Acrylonitrile butadiene styrene (ABS))
--1081 (Cellulose polymers (CA))
--1082 (Ionomer (I))
--1083 (Polyamides (Nylons, PA))
--1084 (Polycarbonate (PC))
--1085 (Polyetheretherketone (PEEK))
--1086 (Polyethylene (PE))
--1087 (Polyethylene terephthalate (PET))
--1090 (Polymethyl methacrylate (Acrylic, PMMA))
--1091 (Polyoxymethylene (Acetal, POM))
--1092 (Polypropylene (PP))
--1093 (Polystyrene (PS))
--1094 (Polytetrafluoroethylene (Teflon, PTFE))
--1095 (Polyurethane (tpPUR))
--1096 (Polyvinylchloride (tpPVC))
--1098 (Epoxies)
--1099 (Phenolics)
--1100 (Polyester)
--1101 (Ash (longitudinal))
--1102 (Ash (transverse))
--1103 (Balsa (longitudinal))
--1104 (Balsa (transverse))
--1105 (Birch (longitudinal))
--1106 (Birch (transverse))
--1107 (Bismuth)
--1108 (Cherry (longitudinal))
--1109 (Cherry (transverse))
--1113 (Ebony (longitudinal))
--1114 (Ebony (transverse))
--1115 (Fluorinated Ethylene Propylene (FEP))
--1118 (Lignum Vitae (longitudinal))
--1119 (Lignum Vitae (transverse))
--1120 (Mahogany (longitudinal))
--1121 (Mahogany (transverse))
--1122 (Maple (longitudinal))
--1123 (Maple (transverse))
--1124 (CPVC)
--1125 (PEI ULTEM)
--1126 (PPS)
--1127 (PVDF)
--1128 (Pewter)
--1129 (Polysulfone)
--1130 (Red Oak (longitudinal))
--1131 (Red Oak (transverse))
--1132 (Rosewood (longitudinal))
--1133 (Rosewood (transverse))
--1134 (Nitrile Rubber (Buna-N))
--1136 (TORLON PAI)
--1137 (Walnut (longitudinal))
--1138 (Wlanut (transverse))",,"When we get ""down to the nuts and bolts"" we are getting down to basics. Screws are as old as engineering - the olive press of roman times relied on a gigantic wooden screw. THREADED FASTENERS are the most versatile of mechanical fasteners, with all the advantages they offer: they do not involve heat, they can join dissimilar materials of very different thickness and they can be disassembled. Ordinary screws require a pre-threaded hole or a nut; self-tapping screws cut their own thread."
Friction Welding,Joining,Joining: Mechanical Welding',',2007_friction_welding,,"--1022 (Aluminum/Silicon carbide composite)
--1046 (High carbon steel)
--1047 (Low alloy steel)
--1048 (Low carbon steel)
--1049 (Medium carbon steel)
--1050 (Stainless steel)
--1051 (Age-hardening wrought Al-alloys)
--1052 (Cast Al-alloys)
--1053 (Non age-hardening wrought Al-alloys)
--1054 (Brass)
--1055 (Bronze)
--1056 (Copper)
--1057 (Gold)
--1058 (Commercially pure lead)
--1059 (Lead alloys)
--1060 (Cast magnesium alloys)
--1061 (Wrought magnesium alloys)
--1062 (Nickel)
--1063 (Nickel-based superalloys)
--1064 (Nickel-chromium alloys)
--1065 (Silver)
--1066 (Tin)
--1067 (Commercially pure titanium)
--1068 (Titanium alloys)
--1070 (Commercially pure zinc)
--1071 (Zinc die-casting alloys)
--1107 (Bismuth)
--1115 (Fluorinated Ethylene Propylene (FEP))
--1124 (CPVC)
--1125 (PEI ULTEM)
--1126 (PPS)
--1127 (PVDF)
--1128 (Pewter)
--1129 (Polysulfone)
--1136 (TORLON PAI)",,"In FRICTION WELDING, one component is rotated or vibrated at high speed, forced into contact with the other, generating frictional heat at the interface, and - when hot - the two are forged together. In direct drive friction welding, the motor is connected to the work piece and starts and stops with each operation.
 
 In INERTIAL FRICTION WELDING, the motor drives a fly wheel that is disconnected from the motor to make the weld. In friction stir welding a non-consumable rotating tool is pushed onto the materials to be welded. The central pin and shoulder compact the two parts to be joined, heating and plasticizing the materials. As the tool moves along the joint line, material from the front of the tool is swept around to the rear, eliminating the interface. The weld quality is excellent (as good as the best fusion welds), and the process is environmentally friendly."
Friction-stir weld,Joining,Joining: Mechanical Welding',',2008_friction_stir_weld,,"--1048 (Low carbon steel)
--1051 (Age-hardening wrought Al-alloys)
--1052 (Cast Al-alloys)
--1053 (Non age-hardening wrought Al-alloys)
--1056 (Copper)
--1060 (Cast magnesium alloys)
--1061 (Wrought magnesium alloys)
--1067 (Commercially pure titanium)
--1068 (Titanium alloys)
--1070 (Commercially pure zinc)
--1071 (Zinc die-casting alloys)",,"In FRICTION-STIR WELDING a non-consumable, rapidly rotating, tool is pushed onto the materials to be welded. The central pin and shoulder contact the two parts to be joined, generating frictional heat that plasticizes the material. As the tool is made to traverse the joint line, material from its front is swept around to the rear, creating an intimate bond.
 
 The weld quality is excellent, and the process is environmentally friendly. No melting takes place so volume changes caused by solidification are avoided; residual stress and distortion are low. The process is at present used to weld aluminum, magnesium, zinc and lead alloys, but developments to allow welding of copper, titanium and steel are expected. Joints between dissimilar metals (e.g. Mg alloys to Al alloys) and between metal-matrix composites are practical."
Ultrasonic welding,Joining,Joining: Mechanical Welding',',2009_ultrasonic_welding,,"--1047 (Low alloy steel)
--1048 (Low carbon steel)
--1049 (Medium carbon steel)
--1050 (Stainless steel)
--1051 (Age-hardening wrought Al-alloys)
--1052 (Cast Al-alloys)
--1053 (Non age-hardening wrought Al-alloys)
--1056 (Copper)
--1057 (Gold)
--1062 (Nickel)
--1063 (Nickel-based superalloys)
--1064 (Nickel-chromium alloys)
--1065 (Silver)
--1067 (Commercially pure titanium)
--1068 (Titanium alloys)
--1070 (Commercially pure zinc)
--1071 (Zinc die-casting alloys)
--1080 (Acrylonitrile butadiene styrene (ABS))
--1081 (Cellulose polymers (CA))
--1082 (Ionomer (I))
--1083 (Polyamides (Nylons, PA))
--1084 (Polycarbonate (PC))
--1085 (Polyetheretherketone (PEEK))
--1086 (Polyethylene (PE))
--1087 (Polyethylene terephthalate (PET))
--1088 (Polyhydroxyalkanoates (PHA, PHB))
--1089 (Polylactide (PLA))
--1090 (Polymethyl methacrylate (Acrylic, PMMA))
--1091 (Polyoxymethylene (Acetal, POM))
--1092 (Polypropylene (PP))
--1093 (Polystyrene (PS))
--1094 (Polytetrafluoroethylene (Teflon, PTFE))
--1095 (Polyurethane (tpPUR))
--1096 (Polyvinylchloride (tpPVC))
--1097 (Starch-based thermoplastics (TPS))
--1115 (Fluorinated Ethylene Propylene (FEP))
--1124 (CPVC)
--1125 (PEI ULTEM)
--1126 (PPS)
--1127 (PVDF)
--1129 (Polysulfone)
--1136 (TORLON PAI)",,"If you want to weld using ultrasound, you need an ultrasonic generator, a converter (transducer), a booster and a welding tool, bizarrely called a sonotrode. The generator for ULTRASONIC WELDING converts 50 Hz mains voltage into a 20 kHz signal. The converter uses the reverse piezoelectric effect to transform the 20 kHz AC signal into mechanical oscillations. The booster and the sonotrode transmit this to the weld zone in such a way to create an oscillating displacement of 10 to 30 microns. A static pressure of 2-15 MPa is applied across the surfaces to be joined and the power switched on to make them slide, heat, roughen and bond."
Diffusion and glaze bonding [Ceramics],Joining,Joining: Thermal Welding',Joining: Thermal Welding: Ceramics',2010_diffusion_glaze_bonding,-- Ceramics Studio (https://hop.dartmouth.edu/online/ceramics),"--1014 (Alumina)
--1015 (Aluminum nitride)
--1016 (Boron carbide)
--1017 (Silicon)
--1018 (Silicon carbide)
--1019 (Silicon nitride)
--1020 (Tungsten carbides)
--1022 (Aluminum/Silicon carbide composite)
--1056 (Copper)
--1067 (Commercially pure titanium)
--1068 (Titanium alloys)
--1116 (Graphite)",,"Joining ceramics poses problems because they are hard and brittle. Mechanical fasteners generally require holes, and create high clamping forces and stress concentrations. Conventional welding is impractical: the melting temperatures of ceramics are very high and residual stresses lead to cracking. Adhesives stick to ceramics, but few are reliable above 300 C, where ceramics are often used. Two processes by-pass these difficulties: Diffusion and Glaze bonding. 
 
 In DIFFUSION BONDING the surfaces to be joined are cleaned, pressed into close contact and heated in vacuum or a controlled atmosphere. Solid state diffusion creates the bond, which is of high quality, but the process is slow and the temperatures are high. GLAZE BONDING depends on the fact that molten glass wets and bonds to almost anything. To exploit this, the surfaces to be joined are first coated with a thin layer of finely-ground glass slurry, with the composition chosen to melt at a temperature well below that for diffusion bonding, and with maximum compatibility between the two surfaces to be joined. A small pressure is applied across the interface and the assembly is heated, melting the glass and forming a thin, but strong bonding layer."
